Airline,Flight #,Origin,ETA,Gate #,Status,AirlineCode,AirportCode,ScheduledDate,ScheduledTime,EstimatedDate,OriginDestAirport,BoardingGate,EstimatedTime,Remarks,FlightNumber
https://www.ind.com/assets/images/airlines/dl.png,DL 3126,Atlanta,4:14 pm,A6,Arrived,DL,IND,20250415,1614,20250415,Atlanta,A6,1614,Arr,3126
https://www.ind.com/assets/images/airlines/aa.png,AA 4385,New York/JFK,4:47 pm,B9,Arrived,AA,IND,20250415,1647,20250415,New York/JFK,B9,1647,Arr,4385
https://www.ind.com/assets/images/airlines/ua.png,UA 2370,Chicago/O'Hare,4:37 pm,A23,Arrived,UA,IND,20250415,1637,20250415,Chicago/O'Hare,A23,1637,Arr,2370
https://www.ind.com/assets/images/airlines/aa.png,AA 1899,Los Angeles,4:33 pm,B13,Arrived,AA,IND,20250415,1633,20250415,Los Angeles,B13,1633,Arr,1899
https://www.ind.com/assets/images/airlines/f9.png,F9 2497,Atlanta,5:08 pm,A3,Arrived,F9,IND,20250415,1708,20250415,Atlanta,A3,1708,Arr,2497
https://www.ind.com/assets/images/airlines/dl.png,DL 4826,New York/LGA,5:16 pm,A7,Arrived,DL,IND,20250415,1716,20250415,New York/LGA,A7,1716,Arr,4826
https://www.ind.com/assets/images/airlines/dl.png,DL 4893,Detroit,5:34 pm,A12,Arrived,DL,IND,20250415,1734,20250415,Detroit,A12,1734,Arr,4893
https://www.ind.com/assets/images/airlines/ua.png,UA 3601,Wash. Dulles,5:41 pm,A25,Arrived,UA,IND,20250415,1741,20250415,Wash. Dulles,A25,1741,Arr,3601
https://www.ind.com/assets/images/airlines/wn.png,WN 1274,Denver,5:10 pm,B20,Arrived,WN,IND,20250415,1710,20250415,Denver,B20,1710,Arr,1274
https://www.ind.com/assets/images/airlines/wn.png,WN 3582,Atlanta,5:34 pm,B23,Arrived,WN,IND,20250415,1734,20250415,Atlanta,B23,1734,Arr,3582
https://www.ind.com/assets/images/airlines/as.png,AS 500,Seattle-Tacoma,7:15 pm,B5,Arrived,AS,IND,20250415,1915,20250415,Seattle-Tacoma,B5,1915,Arr,500
https://www.ind.com/assets/images/airlines/aa.png,AA 4793,New York/LGA,5:45 pm,B6,Arrived,AA,IND,20250415,1745,20250415,New York/LGA,B6,1745,Arr,4793
https://www.ind.com/assets/images/airlines/aa.png,AA 5239,Philadelphia,7:44 pm,B13,Arrived,AA,IND,20250415,1944,20250415,Philadelphia,B13,1944,Arr,5239
https://www.ind.com/assets/images/airlines/wn.png,WN 2619,Las Vegas,6:09 pm,B22,Arrived,WN,IND,20250415,1809,20250415,Las Vegas,B22,1809,Arr,2619
https://www.ind.com/assets/images/airlines/aa.png,AA 1981,Charlotte,5:58 pm,B10,Arrived,AA,IND,20250415,1758,20250415,Charlotte,B10,1758,Arr,1981
https://www.ind.com/assets/images/airlines/ua.png,UA 3690,Chicago/O'Hare,5:51 pm,A21,Arrived,UA,IND,20250415,1751,20250415,Chicago/O'Hare,A21,1751,Arr,3690
https://www.ind.com/assets/images/airlines/wn.png,WN 3570,Orlando Int'l,6:04 pm,B21,Arrived,WN,IND,20250415,1804,20250415,Orlando Int'l,B21,1804,Arr,3570
https://www.ind.com/assets/images/airlines/aa.png,AA 4449,New York/JFK,6:04 pm,B14,Arrived,AA,IND,20250415,1804,20250415,New York/JFK,B14,1804,Arr,4449
https://www.ind.com/assets/images/airlines/wn.png,WN 3587,Kansas City (MO),11:38 pm,B21,Arrived,WN,IND,20250415,2338,20250415,Kansas City (MO),B21,2338,Arr,3587
https://www.ind.com/assets/images/airlines/aa.png,AA 1517,Washington DC,6:25 pm,B9,Arrived,AA,IND,20250415,1825,20250415,Washington DC,B9,1825,Arr,1517
